rel_path,mean_db,max_db,median_db,peak_to_mean
Vietnamese\long vowels-#DV\gə男.mp3,-19.50,-11.00,-15.63,8.50
Vietnamese\long vowels-#DV\gαː女.mp3,-19.34,-9.00,-15.38,10.34
Vietnamese\long vowels-#DV\gαː男.mp3,-24.55,-12.52,-20.55,12.03
Vietnamese\long vowels-#TV\kiː女.mp3,-39.63,-11.02,-16.00,28.61
Vietnamese\long vowels-#TV\kiː男.mp3,-27.53,-12.74,-17.17,14.79
Vietnamese\long vowels-#TV\ku女.mp3,-21.54,-9.87,-11.70,11.67
Vietnamese\long vowels-#TV\ku男.mp3,-28.55,-10.79,-18.42,17.75
Vietnamese\long vowels-#TV\kɔ女.mp3,-27.12,-7.95,-13.99,19.18
Vietnamese\long vowels-#TV\kɔ男.mp3,-23.21,-12.44,-15.85,10.77
Vietnamese\long vowels-#TV\kə女.mp3,-25.61,-8.26,-12.79,17.35
Vietnamese\long vowels-#TV\kə男.mp3,-23.90,-11.74,-16.69,12.16
Vietnamese\long vowels-#TV\kɛ女.mp3,-31.68,-8.03,-16.37,23.64
Vietnamese\long vowels-#TV\kɛ男.mp3,-26.28,-13.84,-17.37,12.44
Vietnamese\long vowels-#TV\kαː女.mp3,-24.43,-9.13,-13.94,15.30
Vietnamese\long vowels-#TV\kαː男.mp3,-23.71,-12.24,-16.59,11.46
Vietnamese\long vowels-#TV\te女.mp3,-26.22,-11.43,-13.82,14.79
Vietnamese\long vowels-#TV\tiː男.mp3,-33.96,-13.09,-19.38,20.88
Vietnamese\long vowels-#TV\tu女.mp3,-25.44,-10.19,-14.83,15.26
Vietnamese\long vowels-#TV\tu男.mp3,-22.94,-12.27,-16.26,10.67
Vietnamese\long vowels-#TV\tɔ女.mp3,-36.31,-8.61,-23.17,27.69
Vietnamese\long vowels-#TV\tɔ男.mp3,-26.94,-12.25,-16.05,14.69
Vietnamese\long vowels-#TV\tə女.mp3,-32.03,-10.79,-16.28,21.24
Vietnamese\long vowels-#TV\tə男.mp3,-26.00,-12.64,-16.55,13.35
Vietnamese\long vowels-#TV\tɛ女.mp3,-35.44,-9.04,-15.79,26.41
Vietnamese\long vowels-#TV\tɛ男.mp3,-33.14,-13.75,-21.72,19.38
Vietnamese\long vowels-#TV\tαː女.mp3,-32.89,-8.26,-20.47,24.63
